============================== SRIM-2013.00 ==============================
==============================================================================
===== TRIMOUT.txt: File of Transmitted / Backscattered / Sputtered Atoms =====
=  This file tabulates the kinetics of ions or atoms leaving the target.     =
=  Column #1: S= Sputtered Atom, B= Backscattered Ion, T= Transmitted Ion.   =
=  Col.#2: Ion Number, Col.#3: Z of atom leaving, Col.#4: Atom energy (eV).  =
=  Col.#5-7: Last location:  X= Depth into target, Y,Z= Transverse axes.     =
=  Col.#8-10: Cosines of final trajectory.                                   =
= *** This data file is in the same format as TRIM.DAT (see manual for uses).=
====== TRIM Calc.=  H(50 MeV) ==> None+None(  1 mm) ==========================
 Ion  Atom   Energy        Depth       Lateral-Position        Atom Direction      
 Numb Numb    (eV)          X(A)        Y(A)       Z(A)      Cos(X)  Cos(Y) Cos(Z) 
T 1046  1 ,4038167E+08   1000000E+01  ,4306E+05 -,9608E+04   ,9999792 -,0063956  ,0008551
T 1047  1 ,4013244E+08   1000000E+01 -,1374E+06  ,7258E+04   ,9996130 -,0129454  ,0246212
T 1048  1 ,4076270E+08   1000000E+01 -,5876E+05  ,2507E+05   ,9996195  ,0270097  ,0055929
T 1049  1 ,4049005E+08   1000000E+01  ,3381E+05 -,4651E+05   ,9996062 -,0020129 -,0279890
T 1050  1 ,4036986E+08   1000000E+01 -,1360E+05  ,9618E+05   ,9997455 -,0193690  ,0115627
T 1051  1 ,4049104E+08   1000000E+01  ,7852E+05 -,2727E+06   ,9993254  ,0143978 -,0337862
T 1052  1 ,4056270E+08   1000000E+01 -,4489E+05  ,3224E+05   ,9999140 -,0108619  ,0073488
T 1053  1 ,4059155E+08   1000000E+01 -,5112E+05 -,4270E+05   ,9998453 -,0084804 -,0154127
T 1054  1 ,4078799E+08   1000000E+01 -,1288E+06 -,2077E+05   ,9993749 -,0241981 -,0257743
T 1055  1 ,4003016E+08   1000000E+01 -,7368E+05  ,2557E+05   ,9981449 -,0261194  ,0549965
T 1056  1 ,4121184E+08   1000000E+01  ,7208E+05  ,4677E+05   ,9997680  ,0208063  ,0055724
T 1057  1 ,4067764E+08   1000000E+01 -,2843E+05  ,2556E+06   ,9996243  ,0032163  ,0272190
T 1058  1 ,4071179E+08   1000000E+01  ,6377E+05 -,1829E+06   ,9989184  ,0238884 -,0398908
T 1059  1 ,4083815E+08   1000000E+01  ,6750E+05 -,2284E+05   ,9919878  ,1147009 -,0529516
T 1060  1 ,4070661E+08   1000000E+01  ,3082E+05  ,1350E+06   ,9995553  ,0118105  ,0273808
T 1061  1 ,4042834E+08   1000000E+01 -,1683E+06  ,1455E+06   ,9992083 -,0346096  ,0196214
T 1062  1 ,4114029E+08   1000000E+01  ,5576E+05 -,1347E+06   ,9996574  ,0038296 -,0258917
T 1063  1 ,4092879E+08   1000000E+01 -,3241E+05 -,1644E+06   ,9996462 -,0184204 -,0191870
T 1064  1 ,4104256E+08   1000000E+01  ,1152E+06 -,1654E+06   ,9997316  ,0200032 -,0116860
T 1065  1 ,4088119E+08   1000000E+01 -,4944E+05  ,1337E+06   ,9998643 -,0117024  ,0115916
T 1066  1 ,4055662E+08   1000000E+01 -,1412E+06  ,1272E+06   ,9991053 -,0281302  ,0315810
T 1067  1 ,4065842E+08   1000000E+01 -,1421E+06 -,1563E+06   ,9992707 -,0221137 -,0311295
T 1068  1 ,4073929E+08   1000000E+01 -,1972E+06 -,8840E+05   ,9996586 -,0233841 -,0116541
T 1069  1 ,4009452E+08   1000000E+01  ,3039E+05  ,1244E+06   ,9997140 -,0020539  ,0238261
T 1070  1 ,4091127E+08   1000000E+01  ,1772E+06  ,1329E+06   ,9993410  ,0341872  ,0121963
T 1071  1 ,4060134E+08   1000000E+01  ,9503E+05 -,1655E+05   ,9999656  ,0076917 -,0031179
T 1072  1 ,3981182E+08   1000000E+01 -,1070E+06  ,5807E+05   ,9998800 -,0139152  ,0068141
T 1073  1 ,4090806E+08   1000000E+01 -,1746E+06 -,6066E+05   ,9996287 -,0241624 -,0125960
T 1074  1 ,4036583E+08   1000000E+01 -,1389E+05  ,1414E+06   ,9999505 -,0060614  ,0078899
T 1075  1 ,4149141E+08   1000000E+01  ,8998E+05 -,3670E+05   ,9999467 -,0075874  ,0070090
T 1076  1 ,4058346E+08   1000000E+01  ,1244E+06  ,8201E+04   ,9999278  ,0024035  ,0117725
T 1077  1 ,4114698E+08   1000000E+01 -,9575E+04  ,1715E+06   ,9992630 -,0073495  ,0376745
T 1078  1 ,4069910E+08   1000000E+01  ,1934E+04 -,5087E+04   ,9999307 -,0043024 -,0109547
T 1079  1 ,4058446E+08   1000000E+01 -,1634E+05 -,9980E+05   ,9998567 -,0094904 -,0140202
T 1080  1 ,4057231E+08   1000000E+01 -,1127E+06 -,3095E+06   ,9994234 -,0008549 -,0339445
T 1081  1 ,4075572E+08   1000000E+01 -,2085E+05  ,2495E+06   ,9989485 -,0019248  ,0458055
T 1082  1 ,4083596E+08   1000000E+01 -,1439E+04 -,2781E+05   ,9991688 -,0191442 -,0359883
T 1083  1 ,4078812E+08   1000000E+01  ,1892E+05  ,1562E+05   ,9998897 -,0072510  ,0129620
T 1084  1 ,4081350E+08   1000000E+01 -,4088E+05 -,2031E+06   ,9992477 -,0083027 -,0378835
T 1085  1 ,4113260E+08   1000000E+01  ,1828E+06  ,1521E+06   ,9988019  ,0480108 -,0094716
T 1086  1 ,4037283E+08   1000000E+01  ,6189E+04  ,3831E+05   ,9999256 -,0116063  ,0037571
T 1087  1 ,4036675E+08   1000000E+01  ,1865E+06  ,2084E+05   ,9995906  ,0285719  ,0015160
T 1088  1 ,4065444E+08   1000000E+01  ,1680E+05 -,1245E+06   ,9992182  ,0193076 -,0344989
T 1089  1 ,4083516E+08   1000000E+01  ,8198E+05 -,6676E+05   ,9998385  ,0123698 -,0130377
T 1090  1 ,4066095E+08   1000000E+01 -,7955E+05 -,1024E+06   ,9996936 -,0092939 -,0229432
T 1091  1 ,4132170E+08   1000000E+01 -,9283E+04  ,5170E+04   ,9998960 -,0127516 -,0067418
T 1092  1 ,4011097E+08   1000000E+01  ,1263E+06  ,7714E+05   ,9999877 -,0039471  ,0029976
T 1093  1 ,4028024E+08   1000000E+01  ,4276E+05 -,2521E+06   ,9988939  ,0103711 -,0458638
T 1094  1 ,4075471E+08   1000000E+01  ,3680E+05 -,1558E+05   ,9998252  ,0160310  ,0096201
T 1095  1 ,4080988E+08   1000000E+01 -,7119E+05  ,2270E+05   ,9998368  ,0139351  ,0114983
T 1096  1 ,4048073E+08   1000000E+01  ,6341E+04  ,1436E+06   ,9998013  ,0076801  ,0183925
T 1097  1 ,3996155E+08   1000000E+01 -,2184E+05 -,1580E+05   ,9998589 -,0092492  ,0140201
T 1098  1 ,4023297E+08   1000000E+01 -,9508E+05 -,6637E+05   ,9998317 -,0031289 -,0180798
